                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3928,                 1.2234,                 1.6085,                0.57424,                0.67386,                0.66649,                 0.3014,                 1.8871,                 1.5109,                 2.1366,             0.00046346,             0.00046346,             0.00046346
                      2,                 1.5566,                 1.4878,                 1.7638,                 0.7058,                0.56688,                0.64653,                0.29907,                 1.8416,                 1.6838,                 2.0663,             0.00092118,             0.00092118,             0.00092118
                      3,                 1.5962,                 1.4488,                 1.7612,                0.42132,                0.51835,                0.36717,                0.14737,                 2.0478,                 2.2405,                 2.2535,                0.00136,                0.00136,                0.00136
                      4,                 1.6963,                 1.6101,                  1.867,                0.54548,                0.58441,                0.58511,                0.26439,                 1.8495,                 1.6487,                 2.1244,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7571,                 1.6425,                 1.9215,                0.51214,                0.51603,                0.48895,                 0.2216,                 1.9256,                 1.8187,                 2.2453,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.7001,                  1.523,                 1.8655,                0.59646,                0.58333,                0.60822,                0.28904,                 1.9044,                 1.6272,                 2.2097,              0.0013158,              0.0013158,              0.0013158
                      7,                  1.744,                 1.6238,                 1.8874,                 0.6366,                0.46948,                0.58301,                0.26117,                 1.9382,                 1.6538,                 2.2047,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.6836,                 1.5539,                 1.8563,                0.55347,                0.38124,                 0.4074,                0.16142,                  2.076,                 2.1298,                 2.3888,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.7401,                 1.6033,                 1.9005,                0.57834,                0.37379,                0.39336,                0.16186,                 1.8789,                 2.1761,                 2.2013,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.6236,                 1.4961,                 1.7933,                0.52137,                 0.5177,                0.55572,                0.22557,                 1.9611,                 1.7801,                 2.1822,              0.0012026,              0.0012026,              0.0012026
