                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3517,                0.91025,                 1.5653,                 0.8588,                0.76596,                0.83982,                0.48659,                 1.5386,                 0.9725,                 1.7347,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3738,                0.90724,                 1.5731,                0.83051,                0.76596,                0.84253,                0.45389,                 1.6268,                 1.0104,                 1.7839,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.3633,                 0.8897,                  1.563,                0.88002,                0.75887,                0.85462,                0.45581,                 1.6326,                0.98603,                 1.8046,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3517,                0.84653,                 1.5498,                0.88051,                0.78393,                0.87359,                0.48521,                 1.5816,                0.95424,                 1.7393,               0.000614,               0.000614,               0.000614
                     38,                 1.3397,                0.85437,                 1.5356,                0.88288,                0.74468,                0.85749,                0.46738,                 1.6308,                 1.0206,                 1.7936,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3193,                0.84734,                 1.5395,                0.84308,                0.77305,                0.84239,                0.46692,                 1.5844,                0.97126,                 1.7819,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3025,                0.86287,                 1.5421,                0.86748,                0.79433,                0.85627,                0.48528,                 1.5931,                 1.0054,                 1.7556,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.2575,                0.81853,                 1.5062,                0.83867,                0.80851,                0.85833,                0.49061,                 1.5592,                  0.976,                 1.7405,              0.0004556,              0.0004556,              0.0004556
                     42,                  1.259,                0.80967,                 1.4944,                0.87118,                0.81537,                0.87315,                0.49391,                 1.5633,                0.97095,                 1.7417,               0.000416,               0.000416,               0.000416
                     43,                 1.2365,                0.76706,                 1.4639,                 0.8938,                0.78723,                0.86582,                0.46725,                 1.6264,                0.98349,                 1.8048,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2092,                0.76124,                 1.4376,                0.86086,                0.79433,                0.86135,                0.47749,                 1.6149,                0.98088,                 1.7839,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2223,                0.74987,                 1.4561,                0.88015,                0.80142,                0.87298,                0.49065,                  1.573,                 0.9129,                 1.7582,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2065,                0.73767,                 1.4283,                0.88168,                0.85106,                0.88179,                0.49427,                 1.5577,                0.90019,                 1.7492,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.1688,                0.74224,                 1.4336,                0.88548,                0.82257,                0.88272,                0.49187,                 1.5363,                0.91999,                 1.7205,               0.000218,               0.000218,               0.000218
                     48,                 1.1565,                0.72018,                 1.4082,                0.89234,                0.82297,                 0.8864,                0.48923,                  1.554,                0.93071,                 1.7366,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1462,                0.71467,                 1.3997,                 0.9021,                 0.8227,                0.88814,                0.49901,                  1.542,                0.91057,                 1.7236,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1223,                0.70095,                 1.3776,                0.88706,                0.83554,                0.88724,                0.49705,                 1.5435,                0.90907,                 1.7208,               9.92e-05,               9.92e-05,               9.92e-05
