                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.442,                 1.3829,                 1.5575,                0.83068,                0.63342,                0.72395,                0.34761,                 1.8208,                 1.3478,                 2.0869,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.4857,                 1.4367,                 1.5998,                0.66886,                0.72578,                0.73486,                0.37929,                 1.7671,                  1.228,                 2.0449,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.4425,                 1.3286,                 1.5371,                0.73425,                0.72112,                0.74229,                0.35785,                 1.8091,                 1.2284,                 2.0673,               0.000467,               0.000467,               0.000467
                     37,                 1.4381,                 1.3167,                 1.5282,                0.73555,                0.66064,                0.72341,                0.34356,                 1.8758,                 1.3177,                 2.1274,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.4302,                 1.3233,                 1.5384,                0.76932,                0.68441,                0.75077,                0.36646,                 1.8258,                 1.2199,                 2.0937,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.4288,                 1.3278,                 1.5444,                0.68961,                0.74708,                0.75335,                0.36176,                  1.829,                 1.2313,                 2.0675,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.4131,                 1.2691,                 1.5343,                0.78351,                0.69066,                0.74421,                0.35346,                 1.9217,                 1.1757,                 2.1383,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3832,                 1.1212,                 1.5946,                0.67999,                0.71092,                0.69406,                0.32973,                 1.8836,                  1.406,                 2.1461,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.3372,                 1.0707,                 1.5682,                0.79158,                0.68305,                0.76364,                 0.3704,                  1.789,                 1.1936,                 2.0625,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.3102,                 1.0288,                 1.5262,                0.75776,                0.73837,                0.80134,                0.39534,                 1.7875,                 1.1358,                  2.045,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2712,                0.98473,                 1.4988,                0.79596,                0.75328,                0.78007,                0.38173,                  1.795,                 1.1719,                 2.0542,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2868,                  1.001,                 1.4981,                0.81764,                0.72709,                 0.7867,                0.37352,                 1.8376,                 1.1194,                 2.0917,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2483,                0.92948,                 1.4892,                0.79989,                 0.7622,                0.80112,                 0.3956,                 1.7984,                 1.0825,                 2.0896,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.2421,                0.91907,                 1.4644,                0.85214,                0.71354,                0.79227,                0.38546,                 1.8174,                 1.0992,                 2.0871,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.2273,                0.89545,                 1.4702,                0.79113,                0.73609,                0.78149,                0.38024,                 1.7749,                  1.065,                 2.0431,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.2185,                0.88382,                 1.4507,                0.83084,                0.70462,                0.78226,                0.39078,                  1.778,                 1.0424,                 2.0677,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                  1.211,                0.88697,                 1.4152,                0.76607,                0.79303,                0.80444,                0.39008,                 1.7854,                  1.039,                 2.0812,             7.0878e-05,             7.0878e-05,             7.0878e-05
