                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2724,                0.76935,                 1.4814,                0.82646,                0.77687,                0.85823,                0.45723,                 1.6532,                 0.9794,                 1.8757,              0.0011833,              0.0011833,              0.0011833
                     36,                 1.2753,                0.77464,                 1.4793,                0.80016,                0.80851,                0.84161,                0.41895,                 1.7088,                0.97452,                 1.9169,              0.0011585,              0.0011585,              0.0011585
                     37,                 1.2584,                0.77384,                 1.4556,                0.87286,                0.75887,                0.82767,                0.45185,                 1.6355,                0.95777,                 1.8551,              0.0011337,              0.0011337,              0.0011337
                     38,                 1.2385,                0.74416,                 1.4486,                0.83101,                0.76727,                 0.8451,                0.43668,                 1.7242,                0.98258,                  1.917,               0.001109,               0.001109,               0.001109
                     39,                 1.2014,                 0.7798,                 1.4249,                0.89028,                 0.8057,                 0.8697,                0.44917,                 1.6713,                 0.9293,                 1.9016,              0.0010842,              0.0010842,              0.0010842
                     40,                 1.2033,                0.78119,                 1.4472,                0.85202,                 0.8167,                0.88134,                0.46322,                 1.6334,                0.90833,                  1.833,              0.0010595,              0.0010595,              0.0010595
                     41,                 1.1953,                0.72562,                 1.4328,                0.84393,                0.78723,                0.86158,                0.45035,                  1.684,                0.95648,                  1.897,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.2246,                0.71257,                 1.4329,                0.78218,                0.86589,                 0.8639,                0.46847,                 1.5966,                0.91492,                 1.8343,                0.00101,                0.00101,                0.00101
                     43,                 1.2145,                0.72999,                 1.4518,                0.89132,                0.80142,                0.88211,                0.47578,                 1.5803,                 0.9128,                 1.8099,             0.00098525,             0.00098525,             0.00098525
                     44,                 1.1483,                0.68891,                 1.3616,                0.89197,                0.81984,                0.88041,                0.48764,                 1.5834,                0.92297,                 1.7831,              0.0009605,              0.0009605,              0.0009605
                     45,                 1.1477,                0.71784,                 1.3886,                0.79329,                0.84397,                0.87849,                0.49689,                 1.5383,                0.92682,                 1.7609,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.1675,                0.69506,                 1.3852,                0.84393,                0.80537,                0.85069,                0.45894,                 1.5913,                0.93114,                 1.7996,               0.000911,               0.000911,               0.000911
                     47,                 1.1532,                0.72319,                 1.3833,                0.84279,                0.76045,                0.83737,                0.47806,                 1.5932,                0.90803,                 1.8317,             0.00088625,             0.00088625,             0.00088625
                     48,                 1.1166,                0.70241,                 1.3757,                0.82975,                0.80851,                0.86258,                0.47698,                  1.588,                0.86564,                 1.8425,              0.0008615,              0.0008615,              0.0008615
                     49,                 1.1113,                0.66145,                 1.3616,                0.81402,                0.83812,                0.85833,                0.46298,                 1.6392,                0.87872,                 1.8649,             0.00083675,             0.00083675,             0.00083675
                     50,                 1.0924,                0.65154,                 1.3276,                0.86068,                0.78866,                0.86554,                0.46646,                 1.6342,                0.90362,                 1.8629,               0.000812,               0.000812,               0.000812
                     51,                 1.0818,                0.66193,                 1.3141,                0.86022,                0.82979,                0.87964,                0.49008,                 1.6322,                 0.8483,                 1.8319,             0.00078725,             0.00078725,             0.00078725
                     52,                 1.0696,                0.63417,                 1.3231,                0.82863,                0.82979,                0.87864,                0.49989,                 1.5782,                0.83171,                 1.8492,              0.0007625,              0.0007625,              0.0007625
                     53,                 1.0932,                0.65344,                 1.3225,                 0.9293,                0.76596,                0.88325,                0.48022,                 1.6434,                 0.8706,                 1.8646,             0.00073775,             0.00073775,             0.00073775
                     54,                 1.0635,                 0.6443,                 1.3168,                0.87254,                0.77679,                0.86036,                0.47363,                 1.6379,                0.90798,                 1.8735,               0.000713,               0.000713,               0.000713
                     55,                 1.0621,                0.62499,                 1.3138,                0.81115,                0.82246,                0.85021,                0.47311,                 1.6407,                 0.8857,                  1.874,             0.00068825,             0.00068825,             0.00068825
