                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8346,                 2.1477,                 1.8986,                0.60411,                0.53901,                0.56153,                0.24335,                 1.8836,                 2.2774,                 2.1487,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.8298,                  2.093,                 1.9082,                0.18362,                0.24823,                0.16112,                0.05971,                 2.2768,                 3.1814,                 2.6788,              0.0012502,              0.0012502,              0.0012502
                      3,                 1.9018,                 2.0993,                  1.939,                0.29405,                0.23338,                0.18378,                0.07708,                 2.2556,                 3.5404,                 2.6443,              0.0017858,              0.0017858,              0.0017858
                      4,                 1.9668,                  2.139,                 1.9813,                0.37974,                0.40426,                 0.2674,                0.08124,                 2.4614,                 2.3191,                 2.5631,               0.001703,               0.001703,               0.001703
                      5,                 1.9743,                 2.0656,                 1.9686,                0.30879,                0.30734,                0.20413,                0.08053,                 2.2721,                 2.8967,                 2.4083,               0.001703,               0.001703,               0.001703
                      6,                 1.9458,                 2.0262,                 2.0064,                0.51114,                0.40426,                0.42197,                0.17071,                 2.2665,                 2.1135,                 2.4738,               0.001604,               0.001604,               0.001604
                      7,                 2.0455,                 1.9558,                 2.0323,                0.48358,                0.46809,                 0.4561,                0.19723,                 2.1135,                 1.9593,                 2.2386,               0.001505,               0.001505,               0.001505
                      8,                 1.8272,                 1.7873,                 1.8629,                0.62362,                0.59574,                0.61166,                0.26049,                 1.9177,                 1.9404,                 2.1764,               0.001406,               0.001406,               0.001406
                      9,                 1.9039,                 1.7988,                 1.9189,                0.72706,                0.46099,                0.58575,                0.27132,                 1.9481,                 1.7439,                 2.1909,               0.001307,               0.001307,               0.001307
                     10,                 1.8767,                 1.7774,                 1.9079,                0.73473,                0.49109,                0.57018,                0.25613,                 1.9415,                 1.7842,                 2.2261,               0.001208,               0.001208,               0.001208
                     11,                 1.8441,                 1.7634,                 2.0437,                0.62398,                0.64731,                0.65222,                0.33053,                 1.7953,                 1.7143,                 2.0096,               0.001109,               0.001109,               0.001109
                     12,                 1.8258,                  1.539,                 1.9835,                  0.676,                0.62411,                 0.6409,                0.29583,                 1.9497,                 1.6808,                 2.1271,                0.00101,                0.00101,                0.00101
                     13,                 1.8427,                 1.5052,                 2.0068,                0.66926,                0.56738,                0.64512,                0.30093,                 1.9178,                 1.5708,                 2.1548,               0.000911,               0.000911,               0.000911
                     14,                 1.8002,                 1.4939,                 1.9457,                 0.6678,                0.68085,                0.69484,                0.35488,                 1.7661,                  1.485,                 2.0204,               0.000812,               0.000812,               0.000812
                     15,                 1.7177,                 1.3932,                 1.9095,                0.73279,                0.69504,                0.76506,                0.37925,                 1.7187,                 1.2929,                 1.9309,               0.000713,               0.000713,               0.000713
                     16,                 1.6644,                 1.3388,                 1.8669,                0.75558,                0.75887,                0.80445,                0.41061,                 1.7183,                 1.2597,                 1.9143,               0.000614,               0.000614,               0.000614
                     17,                 1.6345,                 1.2965,                 1.8227,                0.72962,                0.72726,                0.77789,                0.40758,                 1.6623,                 1.2892,                 1.8423,               0.000515,               0.000515,               0.000515
                     18,                 1.6449,                 1.2647,                 1.8171,                0.78802,                0.79095,                0.80828,                0.42269,                  1.664,                 1.2002,                  1.859,               0.000416,               0.000416,               0.000416
                     19,                 1.5877,                 1.1999,                  1.784,                0.79101,                 0.7305,                0.79426,                0.42562,                 1.6667,                 1.1949,                 1.8819,               0.000317,               0.000317,               0.000317
                     20,                 1.5449,                 1.1757,                 1.7504,                  0.831,                0.71631,                  0.815,                0.45212,                  1.647,                 1.1288,                 1.8506,               0.000218,               0.000218,               0.000218
