                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7016,                 2.3554,                 1.7592,                0.53951,                0.40839,                0.47137,                0.23264,                 1.8591,                 2.4122,                 2.1148,             0.00046346,             0.00046346,             0.00046346
                      2,                  1.691,                 2.3665,                 1.7976,                0.43995,                 0.4012,                0.41238,                0.16514,                 2.0998,                 2.4434,                 2.3506,             0.00089327,             0.00089327,             0.00089327
                      3,                 1.7615,                 2.4114,                 1.8103,                0.42123,                0.30331,                0.29125,                0.13637,                 2.0398,                 3.2995,                 2.3851,              0.0012759,              0.0012759,              0.0012759
                      4,                 1.7867,                 2.3477,                 1.8157,                0.24647,                0.32188,                0.22645,                0.08934,                 2.1778,                 2.9523,                 2.5755,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.7726,                 2.2239,                 1.8101,                0.27039,                0.33628,                0.24423,                0.11289,                 2.0534,                 3.1711,                 2.4083,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.8118,                   2.21,                 1.8459,                0.53074,                0.40119,                0.44052,                0.18905,                 1.8855,                 2.6059,                  2.151,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7501,                 2.1371,                 1.8025,                0.40983,                0.58552,                0.51048,                 0.2226,                 1.8341,                  1.983,                 2.0926,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.7385,                 2.0565,                   1.81,                0.55254,                0.45518,                0.49132,                0.20127,                  2.078,                 2.1325,                 2.4067,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.7623,                 1.9677,                 1.7856,                0.59771,                0.58247,                0.60637,                0.28632,                 1.8715,                 1.7259,                 2.1284,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.7512,                 1.9086,                 1.7662,                0.57858,                0.52402,                0.55941,                0.25133,                 1.9829,                  1.807,                  2.234,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.6728,                 1.9487,                 1.8392,                 0.5225,                0.47189,                0.47938,                0.21391,                 1.8331,                 2.0535,                 2.1029,             0.00079238,             0.00079238,             0.00079238
                     12,                  1.626,                 1.7708,                  1.814,                0.70339,                0.64957,                0.71568,                0.32254,                 1.8428,                 1.6704,                 2.1145,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.6063,                 1.6257,                 1.8008,                0.67476,                 0.5032,                0.58658,                0.26693,                 1.8738,                 1.8601,                 2.1711,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.5888,                 1.6284,                 1.7947,                0.58312,                0.61953,                0.63815,                0.31761,                 1.8032,                 1.6053,                 2.0448,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.5647,                 1.5363,                 1.7472,                0.50995,                0.59645,                0.57047,                0.27634,                 1.7635,                 1.5857,                 2.0314,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.4979,                  1.457,                 1.7173,                0.65636,                0.72037,                0.72219,                0.34268,                 1.8363,                 1.3565,                 2.1023,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.4475,                 1.3617,                 1.6544,                0.61148,                0.67548,                0.68536,                0.33517,                 1.8295,                  1.517,                 2.0982,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.4064,                 1.2485,                 1.6409,                0.78874,                0.69946,                0.75238,                0.37133,                  1.771,                 1.3228,                  2.029,             0.00029723,             0.00029723,             0.00029723
                     19,                   1.41,                 1.2211,                 1.6114,                0.83183,                0.64536,                0.75435,                0.38284,                 1.7521,                 1.3398,                 1.9841,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.3679,                 1.1975,                 1.5728,                0.80261,                0.73146,                0.78604,                 0.4002,                 1.7351,                 1.2302,                 1.9703,             0.00015576,             0.00015576,             0.00015576
